월,강의명,카테고리,플랫폼,수강신청수,환불수,객단가(원),매출(만원),쿠폰사용수,순매출(만원)
2025-07,노션으로 1인 사업 시스템 만들기,생산성,자사사이트,42,3,89000,374,8,341
2025-07,초보 뉴스레터 7일 완성,글쓰기,클래스101,67,5,59000,395,12,355
2025-07,크리에이터 세금 기초,비즈니스,탈잉,18,1,49000,88,2,83
2025-08,노션으로 1인 사업 시스템 만들기,생산성,자사사이트,55,4,89000,490,11,449
2025-08,초보 뉴스레터 7일 완성,글쓰기,클래스101,71,6,59000,419,15,378
2025-08,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,103,9,79000,814,24,718
2025-09,노션으로 1인 사업 시스템 만들기,생산성,자사사이트,48,3,89000,427,9,392
2025-09,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,128,11,79000,1011,31,873
2025-09,크리에이터 세금 기초,비즈니스,탈잉,24,2,49000,118,3,108
2025-10,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,156,14,79000,1232,38,1062
2025-10,초보 뉴스레터 7일 완성,글쓰기,클래스101,58,4,59000,342,11,303
2025-10,1인 지식사업 수익화 로드맵,비즈니스,자사사이트,34,2,149000,507,6,464
2025-11,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,142,12,79000,1122,35,968
2025-11,1인 지식사업 수익화 로드맵,비즈니스,자사사이트,61,5,149000,909,12,809
2025-11,노션으로 1인 사업 시스템 만들기,생산성,자사사이트,39,3,89000,347,8,318
2025-12,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,98,8,79000,774,22,651
2025-12,1인 지식사업 수익화 로드맵,비즈니스,자사사이트,77,6,149000,1147,16,1024
2025-12,초보 뉴스레터 7일 완성,글쓰기,클래스101,44,3,59000,260,9,232
2026-01,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,187,16,79000,1477,46,1252
2026-01,1인 지식사업 수익화 로드맵,비즈니스,자사사이트,89,7,149000,1326,18,1167
2026-01,노션으로 1인 사업 시스템 만들기,생산성,자사사이트,52,4,89000,463,10,420
2026-02,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,134,11,79000,1059,33,913
2026-02,1인 지식사업 수익화 로드맵,비즈니스,자사사이트,72,5,149000,1073,15,953
2026-02,클로드코드로 업무 자동화 입문,AI활용,자사사이트,46,3,119000,547,7,508
2026-03,클로드코드로 업무 자동화 입문,AI활용,자사사이트,118,9,119000,1404,19,1242
2026-03,챗GPT로 콘텐츠 10배 빠르게,AI활용,자사사이트,121,10,79000,956,30,823
2026-03,1인 지식사업 수익화 로드맵,비즈니스,자사사이트,68,5,149000,1013,14,895
