프로젝트ID,고객사,업종,작업유형,착수일,마감예정일,상태,견적금액(원),계약형태,수정라운드,비고
P001,라온카페,로컬/요식,로고+메뉴판 디자인,2026-01-08,2026-01-29,완료,1200000,건당,3,초기 시안 3종 제안
P002,블룸스튜디오,1인스튜디오,인스타 콘텐츠 12종,2026-01-12,2026-02-12,완료,1800000,월정액,2,월 12콘텐츠 정기
P003,하루독서,교육/지식,랜딩페이지 제작,2026-01-20,2026-02-20,완료,3500000,건당,4,결제 연동 포함
P004,코코공방,로컬/공방,스마트스토어 상세페이지 5종,2026-02-02,2026-02-28,완료,2500000,건당,5,사진 보정 별도
P005,그린푸드,온라인스토어,쿠팡 썸네일 30종,2026-02-10,2026-03-05,완료,1500000,건당,2,대량 단가 적용
P006,더브릿지,컨설팅,브랜드 가이드북,2026-02-18,2026-03-25,완료,4200000,건당,3,인쇄용 시안 포함
P007,라온카페,로컬/요식,배달앱 배너 시즌3종,2026-03-02,2026-03-16,완료,600000,건당,1,재의뢰(P001 고객)
P008,넥스트클래스,교육/지식,온라인강의 썸네일+소개페이지,2026-03-10,2026-04-10,완료,2800000,건당,4,강의 8개분
P009,모모펫,온라인스토어,상세페이지+배너 패키지,2026-03-20,2026-04-22,완료,3200000,건당,6,요청 잦아 일정 지연
P010,블룸스튜디오,1인스튜디오,인스타 콘텐츠 12종,2026-03-12,2026-04-12,완료,1800000,월정액,1,월 정기(P002 연장)
P011,한결법률,전문서비스,홈페이지 리뉴얼,2026-04-01,2026-05-15,완료,5500000,건당,5,개발 외주 포함
P012,코코공방,로컬/공방,브랜드 패키지 디자인,2026-04-08,2026-05-02,완료,2200000,건당,3,재의뢰(P004 고객)
P013,그린푸드,온라인스토어,쿠팡 A+페이지 8종,2026-04-15,2026-05-10,완료,2400000,건당,2,대량 단가
P014,비전마케팅,컨설팅,마케팅 리포트 템플릿,2026-04-20,2026-05-08,완료,1300000,건당,2,재사용 양식 납품
P015,블룸스튜디오,1인스튜디오,인스타 콘텐츠 12종,2026-05-12,2026-06-12,진행중,1800000,월정액,0,월 정기(P010 연장)
P016,달빛공방,로컬/공방,웹사이트 제작,2026-05-06,2026-06-20,진행중,4800000,건당,2,개발 외주 포함
P017,넥스트클래스,교육/지식,강의 랜딩페이지 추가,2026-05-18,2026-06-18,진행중,1600000,건당,3,재의뢰(P008 고객)
P018,모모펫,온라인스토어,시즌 프로모션 배너 10종,2026-05-25,2026-06-15,진행중,1400000,건당,4,요청 잦음(P009 고객 패턴)
P019,세움건축,전문서비스,회사소개서+명함,2026-06-02,2026-06-30,진행중,2600000,건당,1,인쇄 포함
P020,하루독서,교육/지식,뉴스레터 템플릿+썸네일,2026-06-08,2026-07-05,견적검토중,1900000,건당,0,재의뢰(P003 고객)
