정산ID,프로젝트ID,고객사,청구일,청구금액(원),입금일,입금금액(원),원천징수(3.3%),미수금(원),결제수단,상태,메모
S001,P001,라온카페,2026-01-30,1200000,2026-02-05,1160400,39600,0,계좌이체,완료,정상 입금
S002,P002,블룸스튜디오,2026-02-13,1800000,2026-02-20,1740600,59400,0,계좌이체,완료,월정액 1월분
S003,P003,하루독서,2026-02-21,3500000,2026-03-10,3384500,115500,0,세금계산서,완료,입금 18일 지연
S004,P004,코코공방,2026-03-01,2700000,2026-03-09,2610900,89100,0,계좌이체,완료,사진보정 추가비 20만 포함
S005,P005,그린푸드,2026-03-06,1500000,2026-03-12,1450500,49500,0,세금계산서,완료,정상 입금
S006,P006,더브릿지,2026-03-26,4200000,2026-04-20,2030700,69300,2100000,세금계산서,부분입금,절반 선입금 후 잔금 지연
S007,P007,라온카페,2026-03-17,600000,2026-03-21,580200,19800,0,계좌이체,완료,재의뢰 빠른 입금
S008,P008,넥스트클래스,2026-04-11,2800000,2026-04-30,2707600,92400,0,세금계산서,완료,정상 입금
S009,P009,모모펫,2026-04-23,3500000,2026-05-12,3384500,115500,0,세금계산서,완료,수정 6회로 추가비 30만 청구
S010,P010,블룸스튜디오,2026-04-13,1800000,2026-04-21,1740600,59400,0,계좌이체,완료,월정액 3월분
S011,P011,한결법률,2026-05-16,5500000,2026-06-02,2658500,90750,2750000,세금계산서,부분입금,개발 외주분 잔금 미입금
S012,P012,코코공방,2026-05-03,2200000,2026-05-11,2127400,72600,0,계좌이체,완료,정상 입금
S013,P013,그린푸드,2026-05-11,2400000,2026-05-19,2320800,79200,0,세금계산서,완료,정상 입금
S014,P014,비전마케팅,2026-05-09,1300000,2026-06-05,1257100,42900,0,세금계산서,완료,입금 27일 지연
S015,P006,더브릿지,2026-05-15,2100000,,0,0,2100000,세금계산서,미수금,잔금 2차 독촉 발송
S016,P011,한결법률,2026-06-03,2750000,,0,0,2750000,세금계산서,미수금,잔금 입금 약속일 경과
S017,P002,블룸스튜디오,2026-03-13,1800000,2026-03-19,1740600,59400,0,계좌이체,완료,월정액 2월분
S018,P010,블룸스튜디오,2026-05-13,1800000,2026-05-20,1740600,59400,0,계좌이체,완료,월정액 4월분
S019,P015,블룸스튜디오,2026-06-13,1800000,,0,0,1800000,계좌이체,청구예정,월정액 5월분 진행중
S020,P012,코코공방,2026-05-03,200000,2026-05-11,193400,6600,0,계좌이체,완료,추가 수정비
S021,P009,모모펫,2026-04-23,300000,2026-05-12,289800,9900,0,세금계산서,완료,수정 초과분 별도 청구
S022,P016,달빛공방,2026-06-10,2400000,2026-06-16,2320800,79200,0,세금계산서,부분입금,착수금 절반 선입금
S023,P017,넥스트클래스,2026-06-18,1600000,,0,0,1600000,세금계산서,청구예정,납품 검수중
S024,P013,그린푸드,2026-05-11,150000,2026-05-19,145050,4950,0,세금계산서,완료,긴급 작업 할증
